carre;annee;espece;abond
70039;2008;STRTUR;0
70039;2009;STRTUR;0
70039;2010;STRTUR;0
70039;2011;STRTUR;0
70039;2012;STRTUR;0
70039;2013;STRTUR;0
70039;2014;STRTUR;0
70039;2015;STRTUR;0
70108;2010;STRTUR;2
70108;2011;STRTUR;3
70147;2008;STRTUR;1
70147;2009;STRTUR;0
70147;2010;STRTUR;0
70147;2011;STRTUR;0
70147;2012;STRTUR;0
70147;2013;STRTUR;0
70214;2008;STRTUR;7
70214;2009;STRTUR;5
70214;2010;STRTUR;2
70281;2004;STRTUR;0
70305;2008;STRTUR;0
70305;2009;STRTUR;0
70305;2010;STRTUR;0
70305;2011;STRTUR;0
70305;2012;STRTUR;1
70305;2013;STRTUR;0
70305;2014;STRTUR;0
70305;2015;STRTUR;0
70318;2008;STRTUR;1
70318;2009;STRTUR;0
70318;2010;STRTUR;0
70318;2011;STRTUR;0
70318;2012;STRTUR;0
70318;2013;STRTUR;0
70318;2014;STRTUR;0
70318;2015;STRTUR;0
70451;2014;STRTUR;0
70582;2004;STRTUR;5
70582;2005;STRTUR;2
70613;2016;STRTUR;0
70613;2017;STRTUR;0
70613;2018;STRTUR;0
70659;2008;STRTUR;0
70659;2009;STRTUR;0
70659;2010;STRTUR;0
70659;2011;STRTUR;0
70659;2012;STRTUR;0
70659;2013;STRTUR;0
70659;2014;STRTUR;0
70659;2015;STRTUR;0
70659;2016;STRTUR;0
70659;2017;STRTUR;0
70659;2018;STRTUR;0
70672;2008;STRTUR;0
70672;2009;STRTUR;0
70672;2010;STRTUR;0
70672;2011;STRTUR;0
70672;2012;STRTUR;0
70672;2013;STRTUR;0
70672;2014;STRTUR;0
70672;2015;STRTUR;0
70672;2016;STRTUR;0
70672;2017;STRTUR;0
70672;2018;STRTUR;0
70679;2004;STRTUR;7
70679;2005;STRTUR;7
70686;2017;STRTUR;0
70686;2018;STRTUR;0
70731;2008;STRTUR;0
70731;2009;STRTUR;0
70731;2010;STRTUR;0
70731;2011;STRTUR;0
70731;2012;STRTUR;0
70731;2013;STRTUR;0
70779;2004;STRTUR;0
70779;2005;STRTUR;0
70818;2017;STRTUR;0
70818;2018;STRTUR;0
71071;2008;STRTUR;0
71071;2009;STRTUR;0
71071;2010;STRTUR;2
71071;2011;STRTUR;3
71071;2012;STRTUR;0
71071;2013;STRTUR;0
71071;2014;STRTUR;0
71071;2015;STRTUR;2
71071;2016;STRTUR;1
71071;2017;STRTUR;0
71071;2018;STRTUR;1
71185;2008;STRTUR;2
71185;2009;STRTUR;1
71185;2010;STRTUR;4
71185;2011;STRTUR;0
71185;2012;STRTUR;3
71185;2013;STRTUR;3
71185;2014;STRTUR;1
71185;2015;STRTUR;3
71185;2016;STRTUR;2
71185;2017;STRTUR;2
71185;2018;STRTUR;1
71249;2008;STRTUR;9
71249;2009;STRTUR;13
71249;2010;STRTUR;10
71249;2011;STRTUR;12
71249;2012;STRTUR;4
71249;2013;STRTUR;3
71249;2014;STRTUR;2
71249;2015;STRTUR;0
71249;2017;STRTUR;7
71249;2018;STRTUR;2
71259;2008;STRTUR;0
71259;2009;STRTUR;0
71259;2010;STRTUR;0
71259;2011;STRTUR;0
71259;2012;STRTUR;0
71259;2013;STRTUR;0
71259;2014;STRTUR;0
71259;2015;STRTUR;0
71259;2016;STRTUR;0
71259;2017;STRTUR;0
71259;2018;STRTUR;0
80047;2007;STRTUR;0
80047;2008;STRTUR;0
80072;2007;STRTUR;0
80072;2008;STRTUR;0
80169;2002;STRTUR;0
80169;2003;STRTUR;0
80169;2004;STRTUR;0
80169;2005;STRTUR;0
80169;2006;STRTUR;0
80169;2007;STRTUR;0
80169;2008;STRTUR;0
80169;2009;STRTUR;0
80169;2010;STRTUR;0
80169;2011;STRTUR;0
80231;2001;STRTUR;0
80231;2002;STRTUR;0
80231;2003;STRTUR;0
80231;2010;STRTUR;0
80235;2001;STRTUR;0
80235;2002;STRTUR;0
80235;2003;STRTUR;1
80235;2004;STRTUR;2
80235;2005;STRTUR;2
80235;2006;STRTUR;0
80235;2007;STRTUR;0
80235;2008;STRTUR;0
80235;2009;STRTUR;0
80235;2010;STRTUR;0
80235;2011;STRTUR;0
80235;2013;STRTUR;0
80235;2014;STRTUR;0
80236;2012;STRTUR;0
80236;2013;STRTUR;0
80254;2005;STRTUR;1
80254;2006;STRTUR;4
80254;2007;STRTUR;5
80254;2008;STRTUR;7
80254;2009;STRTUR;2
80254;2010;STRTUR;0
80254;2011;STRTUR;0
80254;2012;STRTUR;0
80254;2013;STRTUR;0
