"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Cir464-2016-Pass1-Tron1-Chiro_1_00040_000"	0.1	0.2	24	"Nyclei"	0.04	"Phogri, Tetvir, Eptser"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00045_000"	0	0.3	151	"noise"	0.77	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00050_000"	0.2	0.5	73	"noise"	0.38	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00055_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00060_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00065_000"	0	0.4	176	"noise"	0.87	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00085_000"	0.1	0.5	235	"noise"	0.94	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00090_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00090_000"	0.1	0.3	19	"Nycnoc"	0.04	"Tetvir, Pippip, Phanan"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00095_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00100_000"	0	0.3	129	"noise"	0.53	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00105_000"	0.4	0.5	125	"noise"	0.28	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00110_000"	0	0.5	154	"noise"	0.99	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_1_00110_000"	0	0.4	20	"Eptser"	0.17	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
